Tên sản phẩm,Giá sản phẩm,CPU,RAM,Bộ nhớ trong,Kích thước màn hình,Độ phân giải màn hình,Pin,Bluetooth,Camera sau,Camera trước,Link,Thể loại sản phẩm,Cửa hàng
iPhone 6S Plus Cũ 32Gb Nguyên Bản,"4,390,000 VNĐ",Apple A9,2 GB,32 GB,"IPS LCD, 5.5"", Full HD",,Li-Po 2750 mAh,,12 MP,5.0 MP,https://didongthongminh.vn/iphone-6s-plus-32g-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 6S Plus Cũ 64Gb Nguyên Bản,"4,790,000 VNĐ",Apple A9,2 GB,64 GB,"IPS LCD, 5.5"", Full HD",,Li-Po 2750 mAh,,12 MP,5.0 MP,https://didongthongminh.vn/iphone-6s-plus-64g-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 6s Plus Cũ 128Gb Nguyên Bản,"5,090,000 VNĐ",Apple A9,2 GB,128 GB,"IPS LCD, 5.5"", Full HD",,Li-Po 2750 mAh,,12 MP,5.0 MP,https://didongthongminh.vn/iphone-6s-plus-128g-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 7 Plus 32Gb Mới Chính Hãng,"7,790,000 VNĐ",Apple A10 Fusion,3 GB,32 GB,"IPS LCD, 5.5"", Full HD",,Li-Ion 2900 mAh,,12 MP,7.0 MP,https://didongthongminh.vn/iphone-7-plus-chua-active-vna-p2280,IPHONE,DI DONG THONG MINH
iPhone 6 Plus Cũ 16GB Quốc Tế,"2,790,000 VNĐ",Apple A8,1 GB,16 GB,"IPS LCD, 5.5"", Full HD",,Li-Po 2915 mAh,,8.0 MP,1.2 MP,https://didongthongminh.vn/iphone-6-plus-cu-qsd-99-p1172,IPHONE,DI DONG THONG MINH
iPhone 6 Plus Cũ 64GB Quốc Tế,"3,390,000 VNĐ",Apple A8,1 GB,64 GB,"IPS LCD, 5.5"", Full HD",,Li-Po 2915 mAh,,8.0 MP,1.2 MP,https://didongthongminh.vn/iphone-6-plus-64gb-cu-nguyen-ban,IPHONE,DI DONG THONG MINH
iPhone 8 64Gb Mới Chính Hãng VN/A,"9,590,000 VNĐ",Apple A11 Bionic,2 GB,64 GB,"IPS LCD, 4.7"", qHD",,Li-Ion 1821 mAh,,12 MP,7.0 MP,https://didongthongminh.vn/iphone-8-chua-active-chinh-hang-p2325,IPHONE,DI DONG THONG MINH
iPhone X Mới 64Gb Chính Hãng VN/A,"10,590,000 VNĐ",Apple A11 Bionic,3 GB,64 GB,"Super Retina OLED 5.8""",,Li-Ion 2716 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-x-chinh-hang-p2324,IPHONE,DI DONG THONG MINH
iPhone XS Max 256Gb Chính Hãng VN/A,"15,990,000 VNĐ",Apple A12 Bionic,4 GB,256 GB,"6.5"" Super Retina HD",,Li-Ion 3174 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-xs-max-256gb-moi-chinh-hang,IPHONE,DI DONG THONG MINH
iPhone XS 64Gb Mới Chính Hãng VN/A,"13,990,000 VNĐ",Apple A12 Bionic,4 GB,64 GB,"5.8"" Super Retina HD",,Li-Ion 2658 mAh,,Dual 12 MP,7.0 MP,https://didongthongminh.vn/iphone-xs-64gb-moi-chinh-hang,IPHONE,DI DONG THONG MINH
