Tên sản phẩm,Giá sản phẩm,Màu,Màn hình,Camera trước,Camera sau,Chip,Ram,Bộ nhớ trong,Thẻ sim,Pin,Hệ điều hành,Link,Loại sản phẩm,Cửa hàng
iPhone 7 32GB (Cũ 99%),3.390.000 VNĐ,Màu Bạc Màu Đen JetBlack Vàng (Gold) Màu Hồng ,"LED-backlit IPS LCD, 4.7"", Retina HD",7 MP,12 MP,Apple A10 Fusion 4 nhân 64-bit,2 GB,32 GB,1 Nano SIM,1960 mAh,IOS,https://www.xtmobile.vn/iphone-7-32gb-quoc-te-likenew-xach-tay,IPHONE,XTMOBILE
iPhone 11 Pro 256GB (Cũ 99%),17.490.000 VNĐ,Màu Đen Vàng (Gold) Màu Trắng Xanh rêu ,"5.8"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,256 GB,Nano-Sim,3190 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-256gb-like-new,IPHONE,XTMOBILE
iPhone 8 Plus 256GB (Cũ 99%),8.890.000 VNĐ,Màu Xám Màu Bạc Vàng (Gold) Màu Đỏ ,"LED-backlit IPS LCD, 5.5"", Retina HD",7 MP,2 camera 12 MP,Apple A11 Bionic 6 nhân,3 GB,256 GB,1 Nano SIM,2691 mAh,iOS,https://www.xtmobile.vn/iphone-8-plus-256gb-may-cu-99,IPHONE,XTMOBILE
iPhone 7 Plus 128GB (Cũ 97%),5.390.000 VNĐ,Màu Đen Màu Hồng Vàng (Gold) Màu Đỏ ,"LED-backlit IPS LCD, 5.5"", Retina HD",7 MP,2 camera 12 MP,Apple A10 Fusion 4 nhân 64-bit,3 GB,128 GB,1 Nano SIM,2900 mAh,iOS,https://www.xtmobile.vn/iphone-7-plus-128gb-likenew-97,IPHONE,XTMOBILE
iPhone 7 Plus 256GB (Cũ 99%),6.990.000 VNĐ,Màu Đen Vàng (Gold) JetBlack Màu Đỏ ,,,,,,,,,,https://www.xtmobile.vn/iphone-7-plus-256gb-ban-quoc-te-99,IPHONE,XTMOBILE
iPhone 12 64GB (Cũ 99%),16.890.000 VNĐ,Black Red Blue White Green ,OLED,12MP True Depth,Camera kép 12 + 12MP góc rộng và góc siêu rộng,Apple A14 Bionic,4GB,64GB,1 Nano Sim - 1 eSim,"2,815mAh",iOS 14,https://www.xtmobile.vn/iphone-12-64gb-cu,IPHONE,XTMOBILE
iPhone 7 128GB (Cũ 99%),4.390.000 VNĐ,Màu Hồng Màu Đen Vàng (Gold) Màu Bạc JetBlack Màu Đỏ ,"LED-backlit IPS LCD, 4.7"", Retina HD",7 MP,12 MP,Apple A10 Fusion 4 nhân 64-bit,2 GB,128 GB,1 Nano SIM,1960 mAh,IOS,https://www.xtmobile.vn/iphone-7-128gb-likenew-99-,IPHONE,XTMOBILE
iPhone 11 64GB Chính hãng (VN/A),15.790.000 VNĐ,Màu Đỏ Màu Đen Vàng Màu Trắng Màu Tím Xanh Lá ,"6.1"" Liquid Retina LCD",12 MP,12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,64 GB,Nano-Sim,3110 mAh,iOS,https://www.xtmobile.vn/iphone-11-64gb-vna,IPHONE,XTMOBILE
iPhone 12 Pro Max 256GB (Cũ 99%),26.990.000 VNĐ,Graphite [Than chì] Pacific Blue [Xanh] Gold [Vàng] Silver [Trắng] ,"6.7"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP + LiDAR,Apple A14 Bionic 6 nhân (5nm),6GB LPDDR5,256GB,Nano-Sim,3.687mAh,iOS,https://www.xtmobile.vn/iphone-12-pro-max-256gb-cu,IPHONE,XTMOBILE
iPhone 11 128GB Chính hãng (VN/A),17.390.000 VNĐ,Màu Đỏ Màu Đen Màu Tím Da Xanh Màu Trắng Vàng ,"6.1"" Liquid Retina LCD",12 MP,12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,64 GB,Nano-Sim,3110 mAh,iOS,https://www.xtmobile.vn/iphone-11-128gb-vn-a,IPHONE,XTMOBILE
iPhone 7 256GB (Cũ 99%),4.890.000 VNĐ,Màu Hồng Màu Đen Màu Bạc Vàng (Gold) ,"LED-backlit IPS LCD, 4.7"", Retina HD",7 MP,12 MP,Apple A10 Fusion 4 nhân 64-bit,2 GB,256 GB,1 Nano SIM,1960 mAh,IOS,https://www.xtmobile.vn/iphone-7-256gb-quoc-te-99-,IPHONE,XTMOBILE
